scaled_Compras_densidad,scaled_Educación_densidad,scaled_Entretenimiento_densidad,scaled_Salud_densidad,scaled_Trabajo_densidad,scaled_Poblacion,FIPS
-0.08284933534086072,-0.22025435702801624,-0.5483879138918596,-0.08392353663596042,-0.22903462547436634,-0.17438769971347348,1
-0.3317693353463923,0.07435860923720176,-0.16086825387859482,-0.11851474148013692,-0.3115525341848468,-0.7649173305716072,2
6.972457375413487,6.850043446960223,6.182916991198409,7.062459256274242,6.946465948543389,-0.7658771450095312,4
-0.10470875324568411,-0.09979101143863811,-0.6008433249825845,0.07186123808422344,-0.34637338878582774,-0.45116763597315557,5
-0.2792710465251852,-0.2835093651402696,-0.4056578221547437,-0.2809171364977861,-0.2709464192773535,4.491704957305139,6
-0.20787303240675925,-0.2534631407467398,-0.21071212721264332,-0.21760663704219224,-0.0645743255693251,-0.06971003327944887,8
-0.2601577102907434,-0.17831228572595423,-0.4034409128275394,-0.15162523598036878,-0.04908928398957588,-0.37182356884086365,9
-0.15289805734509204,-0.2798737070231264,-0.517070517552552,-0.12888855458214427,0.043423281829406433,-0.7278766776258442,10
-0.203057087170327,0.8391225968924617,1.1755808290821683,-0.012761603761019674,0.6821757024993106,-0.7738358173865054,11
-0.12558646736416823,-0.44132732304031635,-0.2710556229358144,0.018425239347602925,-0.1587922664567885,2.1225363894798557,12
-0.18976617687733704,-0.3621394662942677,-0.5490547876128573,-0.08673229627330134,-0.03877139986702465,0.6115931618627625,13
-0.14092423249497352,-0.3288229440663123,-0.19796806701497574,-0.36087672138225807,-0.4175147269092329,-0.6673881124346323,15
-0.1456656719779727,-0.08448450809340204,-0.13556322586914854,-0.18072747696753816,-0.1562365705513507,-0.6047300080348118,16
-0.26684341706932485,-0.1528017572419973,0.17037101068305308,-0.19510224766893955,0.051854144750122344,0.8728057099516661,17
-0.27564382535991255,-0.14620630556753275,-0.3110454220577325,-0.13325320535591093,0.19737005652632664,0.06740821151413234,18
0.052781827071633786,0.027077713936365332,0.49893983294153565,-0.07280566979806577,-0.14509328256038737,-0.42766251533827937,19
-0.14373419224044753,0.12092808335858088,-0.32480124581713343,-0.14865622685035462,-0.12023557907777577,-0.4632843181089448,20
-0.13403137927818262,-0.20753465070339766,-0.49603559155974025,0.05926392364209474,-0.16205854104581208,-0.24851403326079236,21
0.016480506052082906,-0.1825134987965509,0.2067855586230111,0.08263374098979774,-0.12055674134490325,-0.23203746965708522,22
0.4607414135441811,0.1589722351285545,-0.1236280077518426,-0.03965450098468608,0.08146083149215999,-0.6767081528729255,23
-0.23239253457009923,-0.326484119592552,-0.5485251404657286,-0.1755706789361749,-0.37373274096433223,-0.019705110744016277,24
-0.16899945602780475,-0.04363157574756416,-0.3214678606284833,-0.1979050048108588,-0.09391991914271275,0.09266845268970975,25
-0.2722261705600232,-0.1534152585932567,-0.2832184653230034,-0.09999301192905978,0.07242022968480771,0.5088494948330304,26
-0.2472162866998481,-0.1818334398642726,-0.17189260099844422,-0.3280699086688993,-0.05355601194513937,-0.08276340014547515,27
